,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Avg_no_of_yearly_purchases,Aggregate,Depandancy_Score,aggval,Value,Satisfaction_flag,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
0,1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,1,Express,1,1,14.0,Venmo,Fortnightly,28.0,-0.14036246649087303,61.21550213846888,-2.140362466490873,66.88501441860437,Average,3,2,3,323,Promising
1,2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,1,Express,1,1,2.0,Cash,Fortnightly,28.0,-0.5066032292936816,64.85390545589622,-2.5066032292936815,70.09205732306117,Average,3,1,3,313,Need Attention
2,3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,1,Free Shipping,1,1,23.0,Credit Card,Weekly,57.0,2.0845213779798923,39.112487993723164,0.08452137797989234,47.40248087415472,Average,4,3,4,434,Potential Loyalist
3,4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,1,Next Day Air,1,1,49.0,PayPal,Weekly,57.0,4.6022521529690525,14.10019844407057,2.6022521529690525,25.355588672783412,Average,4,5,5,455,Champion
4,5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,1,Free Shipping,1,1,31.0,PayPal,Annually,1.0,0.16248873197214175,58.20683975817571,-1.8375112680278582,64.23305186887586,Average,1,4,2,142,Need Attention
5,6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,1,Standard,1,1,14.0,Venmo,Weekly,57.0,-0.7764728774968253,67.53491402463368,-2.7764728774968255,72.45521191506967,Average,4,2,1,421,Potential Loyalist
6,7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,1,Free Shipping,1,1,49.0,Cash,Quarterly,3.0,2.980919973680839,30.207254181473882,0.9809199736808392,39.55303032717776,Average,1,5,5,155,At Risk
7,8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,1,Free Shipping,1,1,19.0,Credit Card,Weekly,57.0,0.16081853066766238,58.22343230216367,-1.8391814693323376,64.24767724045262,Average,4,2,1,421,Potential Loyalist
8,9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,1,Express,1,1,8.0,Venmo,Annually,1.0,0.5970977729674377,53.88923468210559,-1.4029022270325622,60.42733174512438,Average,1,1,5,115,Need Attention
9,10,57,Male,Handbag,Accessories,31.000000000000004,Missouri,M,Pink,Spring,4.8,1,2-Day Shipping,1,1,4.0,Cash,Quarterly,3.0,-2.4144645740367423,83.80747302926332,-4.414464574036742,86.79853516436042,Good,1,1,1,111,Hibernating
10,11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,1,Store Pickup,1,1,26.0,Bank Transfer,Bi-Weekly,114.0,2.1339553512875207,38.621388283522606,0.13395535128752067,46.96960477341141,Good,5,3,1,531,Potential Loyalist
11,12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,1,Store Pickup,1,1,10.0,Bank Transfer,Fortnightly,28.0,0.21611328051900325,57.67410895607902,-1.7838867194809969,63.7634803591242,Good,3,1,3,313,Need Attention
12,13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,1,Express,1,1,37.0,Venmo,Fortnightly,28.0,2.254138970654222,37.42742921665688,0.2541389706542221,45.9171986437053,Good,3,4,4,344,Loyal Customer
13,14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,1,Express,1,1,31.0,PayPal,Weekly,57.0,1.709374120156008,42.83937250800947,-0.290625879843992,50.68751485596273,Good,4,4,2,442,Loyal Customer
14,15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,1,Free Shipping,1,1,34.0,Debit Card,Weekly,57.0,2.0015055760980065,39.93720495492219,0.0015055760980065003,48.12942136091436,Good,4,4,3,443,Loyal Customer
15,16,64,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,1,Store Pickup,1,1,8.0,PayPal,Monthly,12.0,0.20875318665577192,57.74722749625357,-1.791246813344228,63.82793013969908,Average,3,1,4,314,Need Attention
16,17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,1,Next Day Air,1,1,44.0,Debit Card,Bi-Weekly,114.0,3.4644887916946776,25.403260278115624,1.4644887916946776,35.3185864745615,Good,5,5,2,552,Loyal Customer
17,18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,1,2-Day Shipping,1,1,36.0,Venmo,Quarterly,3.0,0.09637169949364677,58.8636766117996,-1.9036283005063532,64.81201571290887,Good,1,4,2,142,Need Attention
18,19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,1,Free Shipping,1,1,17.0,Cash,Weekly,57.0,0.6135223460817429,53.72606545744287,-1.386477653918257,60.28350747427629,Good,4,2,2,422,Potential Loyalist
19,20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,1,Standard,1,1,46.0,Debit Card,Bi-Weekly,114.0,5.883120983945473,1.3754613936426197,3.8831209839454726,14.139466074943222,Average,5,5,5,555,Champion
20,21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,1,Express,1,1,50.0,Cash,Every 3 Months,4.0,1.6405936675472979,43.52266899590049,-0.35940633245270215,51.2898013431795,Average,2,5,2,252,Need Attention
21,22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,1,Store Pickup,1,1,22.0,Debit Card,Quarterly,3.0,0.14060922258043496,58.42420081581783,-1.859390777419565,64.42464311833339,Good,1,3,3,133,At Risk
22,23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,1,Store Pickup,1,1,32.0,Debit Card,Annually,1.0,-0.27499082335731584,62.552961837094486,-2.274990823357316,68.06390808768421,Average,1,4,2,142,Need Attention
23,24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,1,Express,1,1,40.0,Credit Card,Weekly,57.0,3.894759903240991,21.128750178085728,1.894759903240991,31.550852089352404,Good,4,4,5,445,Champion
