Customer ID,Age,Location,Subscription Status,Previous Purchases,Frequency of Purchases,Avg_no_of_yearly_purchases,Aggregate,Depandancy_Score,aggval,Value,Satisfaction_flag,RFM_Score,Customer_Segment
1,55,Kentucky,1,14,Fortnightly,28,-0.140362466,61.21550214,-2.140362466,66.88501442,Average,323,Promising
2,19,Maine,1,2,Fortnightly,28,-0.506603229,64.85390546,-2.506603229,70.09205732,Average,313,Need Attention
3,50,Massachusetts,1,23,Weekly,57,2.084521378,39.11248799,0.084521378,47.40248087,Average,434,Potential Loyalist
4,21,Rhode Island,1,49,Weekly,57,4.602252153,14.10019844,2.602252153,25.35558867,Average,455,Champion
5,45,Oregon,1,31,Annually,1,0.162488732,58.20683976,-1.837511268,64.23305187,Average,142,Need Attention
6,46,Wyoming,1,14,Weekly,57,-0.776472877,67.53491402,-2.776472877,72.45521192,Average,421,Potential Loyalist
7,63,Montana,1,49,Quarterly,3,2.980919974,30.20725418,0.980919974,39.55303033,Average,155,At Risk
8,27,Louisiana,1,19,Weekly,57,0.160818531,58.2234323,-1.839181469,64.24767724,Average,421,Potential Loyalist
9,26,West Virginia,1,8,Annually,1,0.597097773,53.88923468,-1.402902227,60.42733175,Average,115,Need Attention
10,57,Missouri,1,4,Quarterly,3,-2.414464574,83.80747303,-4.414464574,86.79853516,Good,111,Hibernating
11,53,Arkansas,1,26,Bi-Weekly,114,2.133955351,38.62138828,0.133955351,46.96960477,Good,531,Potential Loyalist
12,30,Hawaii,1,10,Fortnightly,28,0.216113281,57.67410896,-1.783886719,63.76348036,Good,313,Need Attention
13,61,Delaware,1,37,Fortnightly,28,2.254138971,37.42742922,0.254138971,45.91719864,Good,344,Loyal Customer
14,65,New Hampshire,1,31,Weekly,57,1.70937412,42.83937251,-0.29062588,50.68751486,Good,442,Loyal Customer
15,64,New York,1,34,Weekly,57,2.001505576,39.93720495,0.001505576,48.12942136,Good,443,Loyal Customer
16,64,Rhode Island,1,8,Monthly,12,0.208753187,57.7472275,-1.791246813,63.82793014,Average,314,Need Attention
17,25,Alabama,1,44,Bi-Weekly,114,3.464488792,25.40326028,1.464488792,35.31858647,Good,552,Loyal Customer
18,53,Mississippi,1,36,Quarterly,3,0.096371699,58.86367661,-1.903628301,64.81201571,Good,142,Need Attention
19,52,Montana,1,17,Weekly,57,0.613522346,53.72606546,-1.386477654,60.28350747,Good,422,Potential Loyalist
20,66,Rhode Island,1,46,Bi-Weekly,114,5.883120984,1.375461394,3.883120984,14.13946607,Average,555,Champion
21,21,Louisiana,1,50,Every 3 Months,4,1.640593668,43.522669,-0.359406332,51.28980134,Average,252,Need Attention
22,31,North Carolina,1,22,Quarterly,3,0.140609223,58.42420082,-1.859390777,64.42464312,Good,133,At Risk
23,56,California,1,32,Annually,1,-0.274990823,62.55296184,-2.274990823,68.06390809,Average,142,Need Attention
24,31,Oklahoma,1,40,Weekly,57,3.894759903,21.12875018,1.894759903,31.55085209,Good,445,Champion
25,18,Florida,1,16,Weekly,57,-0.553568221,65.32047717,-2.553568221,70.50331341,Average,421,Potential Loyalist
26,18,Texas,1,14,Annually,1,-2.027779559,79.96596716,-4.027779559,83.41246906,Average,121,Hibernating
27,38,Nevada,1,13,Annually,1,-2.308134006,82.75113651,-4.308134006,85.86743538,Average,121,Hibernating
