Transaction_ID,Customer ID,Item_ID,Purchase Amount (USD),Season,Review Rating,Shipping Type,Discount Applied,Promo Code Used
1,1,1,53,Winter,3.1,Express,1,1
2,2,2,64,Winter,3.1,Express,1,1
3,3,3,73,Spring,3.1,Free Shipping,1,1
4,4,4,90,Spring,3.5,Next Day Air,1,1
5,5,1,49,Spring,2.7,Free Shipping,1,1
6,6,5,20,Summer,2.9,Standard,1,1
7,7,6,85,Fall,3.2,Free Shipping,1,1
8,8,7,34,Winter,3.2,Free Shipping,1,1
9,9,8,97,Summer,2.6,Express,1,1
10,10,9,31,Spring,4.8,2-Day Shipping,1,1
11,11,10,34,Fall,4.1,Store Pickup,1,1
12,12,7,68,Winter,4.9,Store Pickup,1,1
13,13,8,72,Winter,4.5,Express,1,1
14,14,11,51,Spring,4.7,Express,1,1
15,15,8,53,Winter,4.7,Free Shipping,1,1
16,16,12,81,Winter,2.8,Store Pickup,1,1
17,17,13,36,Spring,4.1,Next Day Air,1,1
18,18,11,38,Winter,4.7,2-Day Shipping,1,1
19,19,2,48,Summer,4.6,Free Shipping,1,1
20,20,14,90,Summer,3.3,Standard,1,1
21,21,14,51,Winter,2.8,Express,1,1
22,22,14,62,Winter,4.1,Store Pickup,1,1
23,23,14,37,Summer,3.2,Store Pickup,1,1
24,24,14,88,Winter,4.4,Express,1,1
25,25,15,22,Fall,2.9,Store Pickup,1,1
26,26,16,25,Summer,3.6,Express,1,1
27,27,17,20,Spring,3.6,Next Day Air,1,1
28,28,7,56,Summer,5.0,Next Day Air,1,1
29,29,9,94,Fall,4.4,Free Shipping,1,1
30,30,11,48,Fall,4.1,Store Pickup,1,1
31,31,17,31,Winter,4.7,Standard,1,1
32,32,11,79,Winter,4.7,Store Pickup,1,1
33,33,15,67,Summer,4.9,Free Shipping,1,1
34,34,14,38,Summer,3.3,Store Pickup,1,1
35,35,18,91,Spring,4.6,2-Day Shipping,1,1
36,36,1,33,Summer,4.0,2-Day Shipping,1,1
37,37,18,69,Winter,4.6,Free Shipping,1,1
38,38,3,45,Summer,2.8,Store Pickup,1,1
39,39,11,37,Winter,,2-Day Shipping,1,1
40,40,14,60,Summer,4.2,Express,1,1
41,41,9,76,Winter,4.6,Next Day Air,1,1
42,42,19,39,Spring,4.5,Standard,1,1
43,43,8,100,Spring,4.1,Free Shipping,1,1
44,44,19,69,Fall,3.7,Store Pickup,1,1
45,45,20,53,Summer,4.6,Free Shipping,1,1
46,46,21,21,Fall,2.9,2-Day Shipping,1,1
47,47,6,43,Summer,2.9,Store Pickup,1,1
48,48,17,54,Winter,4.5,Free Shipping,1,1
49,49,6,55,Summer,2.7,Store Pickup,1,1
50,50,16,30,Spring,4.6,Next Day Air,1,1
51,51,1,28,Spring,,Store Pickup,1,1
52,52,12,59,Winter,4.7,2-Day Shipping,1,1
53,53,18,20,Summer,2.6,Free Shipping,1,1
54,54,12,24,Winter,3.9,Next Day Air,1,1
55,55,8,94,Summer,4.2,Next Day Air,1,1
56,56,15,28,Winter,3.0,2-Day Shipping,1,1
57,57,22,73,Summer,4.7,Store Pickup,1,1
58,58,8,64,Summer,4.4,Store Pickup,1,1
59,59,16,54,Summer,4.2,Free Shipping,1,1
60,60,23,79,Spring,4.6,Standard,1,1
61,61,2,37,Summer,4.0,Express,1,1
62,62,19,68,Winter,4.7,Store Pickup,1,1
63,63,5,21,Spring,3.8,Free Shipping,1,1
64,64,13,79,Winter,2.7,2-Day Shipping,1,1
65,65,24,83,Fall,4.8,Standard,1,1
66,66,22,36,Spring,4.8,2-Day Shipping,1,1
67,67,1,94,Winter,4.7,2-Day Shipping,1,1
68,68,8,33,Winter,4.4,Store Pickup,1,1
69,69,9,46,Summer,3.9,Next Day Air,1,1
70,70,23,70,Summer,4.4,Express,1,1
71,71,23,29,Fall,4.2,Express,1,1
72,72,11,48,Summer,2.9,Express,1,1
73,73,11,26,Winter,2.9,Store Pickup,1,1
74,74,14,85,Spring,2.7,Free Shipping,1,1
75,75,25,58,Spring,4.5,Express,1,1
76,76,19,85,Summer,2.7,Free Shipping,1,1
77,77,20,43,Summer,4.2,Free Shipping,1,1
78,78,11,53,Summer,3.3,Next Day Air,1,1
79,79,12,91,Spring,4.7,Free Shipping,1,1
80,80,15,96,Winter,2.6,2-Day Shipping,1,1
81,81,4,72,Summer,,Store Pickup,1,1
82,82,10,96,Summer,2.6,Express,1,1
83,83,14,28,Spring,4.0,2-Day Shipping,1,1
84,84,11,40,Summer,4.1,Standard,1,1
85,85,8,32,Spring,4.4,Standard,1,1
86,86,13,95,Winter,4.5,Next Day Air,1,1
87,87,16,41,Spring,3.7,2-Day Shipping,1,1
88,88,10,53,Fall,3.7,2-Day Shipping,1,1
89,89,18,47,Fall,3.5,Free Shipping,1,1
90,90,15,83,Fall,3.6,Next Day Air,1,1
91,91,20,48,Summer,2.9,Express,1,1
92,92,19,99,Winter,4.6,Standard,1,1
93,93,15,87,Winter,4.4,2-Day Shipping,1,1
94,94,2,62,Fall,4.5,Standard,1,1
95,95,12,76,Spring,4.6,Free Shipping,1,1
96,96,5,100,Fall,3.8,Free Shipping,1,1
97,97,25,73,Spring,,Express,1,1
98,98,10,92,Winter,4.8,Store Pickup,1,1
99,99,3,67,Spring,2.6,Next Day Air,1,1
100,100,16,40,Summer,3.7,Express,1,1
101,101,13,98,Fall,2.7,Express,1,1
102,102,8,85,Spring,4.6,Express,1,1
103,103,21,67,Winter,4.8,Next Day Air,1,1
104,104,24,89,Winter,4.0,Next Day Air,1,1
105,105,13,24,Spring,4.4,2-Day Shipping,1,1
106,106,22,96,Fall,3.6,Next Day Air,1,1
107,107,15,35,Summer,3.7,Standard,1,1
108,108,5,67,Winter,3.1,Next Day Air,1,1
109,109,21,79,Spring,3.4,Next Day Air,1,1
110,110,18,85,Spring,2.6,Next Day Air,1,1
111,111,22,26,Summer,4.0,Standard,1,1
112,112,23,75,Summer,5.0,Free Shipping,1,1
113,113,25,65,Spring,4.3,Free Shipping,1,1
114,114,20,54,Winter,3.1,Next Day Air,1,1
115,115,8,95,Summer,3.7,Store Pickup,1,1
116,116,12,94,Spring,3.8,Standard,1,1
117,117,10,86,Spring,3.4,Free Shipping,1,1
118,118,4,32,Summer,4.6,Express,1,1
119,119,2,45,Fall,4.8,2-Day Shipping,1,1
120,120,8,76,Fall,4.3,Express,1,1
121,121,20,84,Summer,4.0,Express,1,1
122,122,7,72,Winter,4.2,Standard,1,1
123,123,22,40,Spring,4.8,2-Day Shipping,1,1
124,124,2,89,Fall,3.1,Free Shipping,1,1
125,125,2,86,Spring,3.1,Next Day Air,1,1
126,126,7,54,Winter,3.6,Next Day Air,1,1
127,127,7,36,Spring,3.9,Store Pickup,1,1
128,128,2,89,Winter,4.8,Next Day Air,1,1
129,129,19,32,Spring,4.7,Standard,1,1
130,130,11,67,Summer,4.2,2-Day Shipping,1,1
131,131,19,39,Fall,3.7,Next Day Air,1,1
132,132,12,29,Summer,3.9,Standard,1,1
133,133,22,58,Fall,4.7,2-Day Shipping,1,1
134,134,2,65,Winter,2.5,Next Day Air,1,1
135,135,20,94,Fall,4.9,Store Pickup,1,1
136,136,4,81,Fall,4.1,Express,1,1
137,137,1,86,Winter,3.3,Free Shipping,1,1
138,138,5,43,Spring,4.7,Free Shipping,1,1
139,139,12,29,Winter,4.4,Store Pickup,1,1
140,140,8,95,Fall,3.8,Store Pickup,1,1
141,141,6,28,Fall,3.9,2-Day Shipping,1,1
142,142,25,46,Fall,4.9,Free Shipping,1,1
143,143,15,58,Fall,3.1,Free Shipping,1,1
144,144,8,48,Fall,2.7,Store Pickup,1,1
145,145,10,43,Fall,3.2,Express,1,1
146,146,17,95,Fall,4.5,Standard,1,1
147,147,12,30,Fall,4.0,Standard,1,1
148,148,10,64,Summer,3.5,2-Day Shipping,1,1
149,149,25,90,Fall,2.6,Store Pickup,1,1
150,150,14,76,Summer,3.2,Free Shipping,1,1
151,151,24,96,Fall,4.9,Standard,1,1
152,152,13,47,Fall,4.5,Next Day Air,1,1
153,153,6,85,Summer,4.3,Express,1,1
154,154,16,55,Winter,3.2,Standard,1,1
155,155,11,98,Fall,3.6,Next Day Air,1,1
156,156,21,77,Spring,4.3,Free Shipping,1,1
157,157,7,26,Fall,4.0,Standard,1,1
158,158,20,68,Fall,3.0,Next Day Air,1,1
159,159,6,73,Fall,4.1,Standard,1,1
160,160,25,27,Fall,3.8,Store Pickup,1,1
161,161,25,23,Summer,4.6,Free Shipping,1,1
162,162,22,49,Fall,3.0,Express,1,1
163,163,13,74,Summer,3.0,Store Pickup,1,1
164,164,12,67,Summer,3.4,Standard,1,1
165,165,9,65,Spring,2.6,Free Shipping,1,1
166,166,9,60,Winter,2.8,Store Pickup,1,1
167,167,5,31,Fall,4.0,Store Pickup,1,1
168,168,25,27,Fall,4.0,Express,1,1
169,169,10,80,Summer,3.0,Express,1,1
170,170,15,30,Summer,3.3,Standard,1,1
171,171,6,25,Fall,2.6,Store Pickup,1,1
172,172,7,35,Summer,3.6,Store Pickup,1,1
173,173,17,67,Summer,3.9,Next Day Air,1,1
174,174,20,46,Fall,3.4,Standard,1,1
175,175,10,35,Winter,3.5,Express,1,1
176,176,8,86,Fall,2.8,Next Day Air,1,1
177,177,22,81,Spring,2.7,Next Day Air,1,1
178,178,16,42,Fall,3.7,Next Day Air,1,1
179,179,12,43,Fall,4.3,2-Day Shipping,1,1
180,180,24,31,Fall,4.9,Store Pickup,1,1
181,181,4,81,Fall,3.3,Store Pickup,1,1
182,182,14,61,Summer,4.7,Next Day Air,1,1
183,183,25,96,Summer,2.8,Store Pickup,1,1
184,184,12,29,Spring,3.6,2-Day Shipping,1,1
185,185,5,33,Spring,3.0,Express,1,1
186,186,18,32,Summer,4.5,Store Pickup,1,1
187,187,22,56,Summer,2.9,Standard,1,1
188,188,10,94,Spring,3.3,Store Pickup,1,1
189,189,16,53,Spring,3.1,Express,1,1
190,190,1,82,Fall,4.4,Next Day Air,1,1
191,191,8,70,Fall,3.0,Free Shipping,1,1
192,192,20,76,Fall,3.9,Free Shipping,1,1
193,193,10,29,Summer,2.9,Express,1,1
194,194,23,100,Fall,3.0,Standard,1,1
195,195,22,94,Spring,3.1,Express,1,1
196,196,15,25,Fall,4.3,Free Shipping,1,1
197,197,24,88,Summer,3.9,Next Day Air,1,1
198,198,19,78,Fall,3.2,2-Day Shipping,1,1
199,199,17,45,Winter,4.8,Standard,1,1
200,200,20,73,Summer,3.8,Express,1,1
201,201,11,61,Summer,3.3,Next Day Air,1,1
202,202,1,22,Fall,4.3,Free Shipping,1,1
203,203,20,38,Spring,2.7,Express,1,1
204,204,19,38,Fall,3.2,Next Day Air,1,1
205,205,5,100,Fall,4.0,Store Pickup,1,1
206,206,6,64,Winter,3.0,Standard,1,1
207,207,18,55,Summer,4.2,Free Shipping,1,1
208,208,25,91,Summer,2.9,Express,1,1
209,209,12,38,Spring,4.1,Store Pickup,1,1
210,210,4,97,Winter,3.2,Store Pickup,1,1
211,211,15,22,Fall,3.0,2-Day Shipping,1,1
212,212,12,92,Fall,4.2,2-Day Shipping,1,1
213,213,9,84,Fall,4.2,Express,1,1
214,214,9,93,Fall,4.4,Store Pickup,1,1
215,215,15,50,Summer,4.2,Next Day Air,1,1
216,216,19,64,Spring,2.8,2-Day Shipping,1,1
217,217,7,61,Spring,3.7,Free Shipping,1,1
218,218,13,48,Winter,3.5,Next Day Air,1,1
219,219,18,45,Spring,2.9,Store Pickup,1,1
220,220,23,88,Spring,3.0,Free Shipping,1,1
221,221,5,57,Spring,3.7,Express,1,1
222,222,20,68,Summer,4.4,Store Pickup,1,1
223,223,25,94,Spring,4.5,2-Day Shipping,1,1
224,224,14,41,Spring,4.8,Free Shipping,1,1
225,225,21,83,Summer,2.9,Free Shipping,1,1
226,226,15,22,Spring,3.2,Next Day Air,1,1
227,227,10,74,Spring,3.3,Free Shipping,1,1
228,228,3,90,Winter,4.2,Standard,1,1
229,229,21,79,Spring,2.9,Store Pickup,1,1
230,230,4,28,Spring,4.6,Next Day Air,1,1
231,231,19,88,Fall,4.1,Standard,1,1
232,232,1,26,Spring,3.1,2-Day Shipping,1,1
233,233,17,27,Winter,4.2,Express,1,1
